original_path,original_filename,domain,disposition,target_area,syntax,lines,sha256,top_imports
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\基于JPG文件名提取SHP要素子集.py,基于JPG文件名提取SHP要素子集.py,datasets,ARCHIVE,src/coastline/datasets,ok,256,30c5a2929cc58a47ac8e85e88bd79d7d17f56761f50ce4b60f9288d159d2f719,glob;os;osgeo;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\基于JPG文件名提取SHP要素子集_v1.py,基于JPG文件名提取SHP要素子集_v1.py,datasets,ARCHIVE,src/coastline/datasets,ok,306,000b63cd7ae4e87b6e53ccd4104b6db005b1a81b00fcddfa8346fe1bf71f309c,glob;os;osgeo;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\基于geopandas的点Shapefile按类别随机抽样.py,基于geopandas的点Shapefile按类别随机抽样.py,datasets,ARCHIVE,src/coastline/datasets,ok,79,28f9fa90d851aeceeda70cf7a35f3974cb81ba521a09437e5c7734522de1d4f0,geopandas;pandas
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\基于分类标签的图像数据集拆分.py,基于分类标签的图像数据集拆分.py,datasets,ARCHIVE,src/coastline/datasets,ok,111,1d2f4de822513caaa6702b7abbdc00658f06c3a79d74497a7de45fd7d59bab29,dbfread;os;pandas;pathlib;random;shutil
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\基于分类标签的图像数据集拆分_v1.py,基于分类标签的图像数据集拆分_v1.py,datasets,ARCHIVE,src/coastline/datasets,ok,230,ce849127d898e413c01eb00cfaba8c02f7cff27990aa5871b689a889482376ff,dbfread;os;pandas;pathlib;random;shutil;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\基于分类标签的图像数据集拆分_v2.py,基于分类标签的图像数据集拆分_v2.py,datasets,ARCHIVE,src/coastline/datasets,ok,247,c1ebb1f3649645e087499d18b01433f5dc2bb239efdc54be6e984db5be87c8eb,dbfread;os;pandas;pathlib;random;shutil;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\Dataset\影像分类结果更新矢量点要素属性脚本.py,影像分类结果更新矢量点要素属性脚本.py,datasets,ARCHIVE,src/coastline/datasets,ok,166,79fc706ae17adaf29b5e11c18775b76bc611a06198c123aec63c5a049ca7636f,glob;os;osgeo
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\ModelTraining\mt_vgg16_v4.py,mt_vgg16_v4.py,training,ARCHIVE,src/coastline/training,ok,522,72b6df0e1a3f16be69eb1bec5e608e143d9f0e0c2dab1eab1d9414f62195b36c,datetime;json;matplotlib;numpy;os;pandas;time;torch;torchvision
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\ModelVerification\mv_vgg16_v1.py,mv_vgg16_v1.py,inference,ARCHIVE,src/coastline/inference,ok,328,d498305a1fdb19237dda7c391b598c875c8a278d7a4a1fd7b84472f72f7cb38c,PIL;decimal;geopandas;matplotlib;numpy;os;pandas;sklearn;torch;torchvision;tqdm;warnings
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\ShpPoi2Line\arri_poi2line.py,arri_poi2line.py,inference,ARCHIVE,src/coastline/inference,ok,73,b639db1cd2c4a970644ce064f9cdbd398b78b52766e552c46d1d7d0758c20ed6,arcpy;collections;os
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\ShpPoi2Line\arri_poi2line_v1.py,arri_poi2line_v1.py,inference,ARCHIVE,src/coastline/inference,ok,122,00bae355ccac9bf346254c9b09dc9fbc76f6c7c4634c999682df1307ea83dacc,arcpy;collections;os
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\ShpPoi2Line\arri_poi2line_v2.py,arri_poi2line_v2.py,inference,ARCHIVE,src/coastline/inference,ok,209,30c312aac17318e6b6cf6247ad35377bdbf43338940f67374edb8f75bfb34d03,arcpy;collections;os;traceback
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\ShpPoi2Line\arri_poi2line_v3.py,arri_poi2line_v3.py,inference,ARCHIVE,src/coastline/inference,ok,167,495a22a7198a97bea3866bbdc8d39efb89a3c114773e5e765685295b2455bcea,arcpy;collections;os;traceback
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\ShpPoi2Line\arri_poi2line_v4.py,arri_poi2line_v4.py,inference,ARCHIVE,src/coastline/inference,ok,206,92ec078a53b3317b271851ddebffe28149c9e04654c57ff4b62c1c4834fe398f,arcpy;collections;os;traceback
E:\_OrderingProject\G_CoastlineClassification\Python\archive\训练流程\ShpPoi2Line\shp批量化处理.py,shp批量化处理.py,inference,ARCHIVE,src/coastline/inference,ok,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,
E:\_OrderingProject\G_CoastlineClassification\Python\archive\通用\main.py,main.py,utils,ARCHIVE,src/coastline/utils,ok,19,9ae5b8f350f0c920a7ff2705771b18a42fe04510414720761154d021752ed817,sys;torch
E:\_OrderingProject\G_CoastlineClassification\Python\archive\通用\temp\PPT转Pdf.py,PPT转Pdf.py,utils,ARCHIVE,src/coastline/utils,ok,14,baef76c256af31662e106d9b6d0372a6281279d0bbcda4e18373d6e61721127e,os;win32com
E:\_OrderingProject\G_CoastlineClassification\Python\archive\通用\合并csv到excel.py,合并csv到excel.py,utils,ARCHIVE,src/coastline/utils,ok,79,42fb4cef36e29ebbbd12d1b3ff3fa2e5c32945c67529679adb4cc63e20e3ae13,openpyxl;os;pandas
E:\_OrderingProject\G_CoastlineClassification\Python\archive\通用\辅助资源链接下载.py,辅助资源链接下载.py,utils,ARCHIVE,src/coastline/utils,ok,51,5c3cd813576e8fc6ac9c1984ee4cdea05256a38d44fe85e4637bcf03f47badfa,os;requests;tqdm
